"","value","Class","N","N_cumulative","cumulative_pct","Group"
"155",0.910866910866911,"4773Z",2076,1952534,0.905361361565587,"Catégories représentant 20% des données"
"156",0.732944458534111,"4721Z",2073,1954607,0.906322581243465,"Catégories représentant 20% des données"
"157",0.352205005959476,"4649Z",2057,1956664,0.907276381956149,"Catégories représentant 20% des données"
"158",0.745098039215686,"4725Z",1982,1958646,0.908195406269489,"Catégories représentant 20% des données"
"159",0.947207345065034,"9603Z",1958,1960604,0.909103302135039,"Catégories représentant 20% des données"
"160",0.94154004635591,"0143Z",1949,1962553,0.910007024832668,"Catégories représentant 20% des données"
"161",0.564549180327869,"4669B",1942,1964495,0.910907501733024,"Catégories représentant 20% des données"
"162",0.984639416818537,"0145Z",1922,1966417,0.911798704926888,"Catégories représentant 20% des données"
"163",0.91500904159132,"4778A",1901,1968318,0.912680170728936,"Catégories représentant 20% des données"
"164",0.947733333333333,"9601B",1901,1970219,0.913561636530985,"Catégories représentant 20% des données"
"165",0.65496049165935,"4399D",1883,1972102,0.91443475599719,"Catégories représentant 20% des données"
"166",0.792908944399678,"7219Z",1865,1973967,0.915299529127553,"Catégories représentant 20% des données"
"167",0.326977401129944,"4799B",1859,1975826,0.916161520145968,"Catégories représentant 20% des données"
"168",0.877079978529254,"1071D",1826,1977652,0.917008209548672,"Catégories représentant 20% des données"
"169",0.89039978243133,"4772A",1804,1979456,0.917844697874235,"Catégories représentant 20% des données"
"170",0.803283328615907,"5229B",1783,1981239,0.918671448807981,"Catégories représentant 20% des données"
"171",0.69804441498177,"6209Z",1712,1982951,0.919465278083681,"Catégories représentant 20% des données"
"172",0.831613093482748,"5210B",1701,1984652,0.920254006820811,"Catégories représentant 20% des données"
"173",0.896551724137931,"4399A",1695,1986347,0.921039953445993,"Catégories représentant 20% des données"
"174",0.82572347266881,"8560Z",1675,1988022,0.921816626364684,"Catégories représentant 20% des données"
"175",0.840923268870867,"4774Z",1662,1989684,0.922587271374155,"Catégories représentant 20% des données"
"176",0.797369994022714,"4540Z",1639,1991323,0.92334725162116,"Catégories représentant 20% des données"
"177",0.603371783496007,"4639B",1633,1992956,0.924104449756217,"Catégories représentant 20% des données"
"178",0.848729076255425,"5221Z",1582,1994538,0.924837999939721,"Catégories représentant 20% des données"
"179",0.753271028037383,"4742Z",1560,1996098,0.925561349046083,"Catégories représentant 20% des données"
"180",0.660727013542409,"5829C",1555,1997653,0.926282379725823,"Catégories représentant 20% des données"
"181",0.601636661211129,"6311Z",1538,1999191,0.926995527755044,"Catégories représentant 20% des données"
"182",0.849758787043418,"3320A",1447,2000638,0.927666480419728,"Catégories représentant 20% des données"
"183",0.76557032890133,"7721Z",1447,2002085,0.928337433084412,"Catégories représentant 20% des données"
"184",0.944919603147451,"8622A",1441,2003526,0.929005603637148,"Catégories représentant 20% des données"
"185",0.946454413892909,"7220Z",1416,2004942,0.929662182056769,"Catégories représentant 20% des données"
"186",0.981634857760173,"0141Z",1399,2006341,0.930310877825872,"Catégories représentant 20% des données"
"187",0.378801042571677,"4618Z",1384,2007725,0.930952618315107,"Catégories représentant 20% des données"
"188",0.721324095458045,"4724Z",1384,2009109,0.931594358804341,"Catégories représentant 20% des données"
"189",0.940520446096654,"8532Z",1383,2010492,0.932235635608251,"Catégories représentant 20% des données"
"190",0.708878669968164,"4751Z",1379,2011871,0.932875057670862,"Catégories représentant 20% des données"
"191",0.873092668403424,"1512Z",1354,2013225,0.933502887600359,"Catégories représentant 20% des données"
"192",0.712528823981553,"1812Z",1351,2014576,0.934129326473882,"Catégories représentant 20% des données"
"193",0.835307604126863,"0162Z",1345,2015921,0.934752983235457,"Catégories représentant 20% des données"
"194",0.748339483394834,"4762Z",1343,2017264,0.935375712626383,"Catégories représentant 20% des données"
"195",0.903127383676583,"3250A",1312,2018576,0.935984067772247,"Catégories représentant 20% des données"
